# Study Tracker Log v1
# S=session_id, T=time(HH:MM:SS EST), E=event_type
# Events: SS=start SE=end FL=face_lost FF=face_found LA=look_away LB=look_back
S,T,E
1,20:41:19,SS
1,20:41:26,LA
1,20:41:27,LB
1,20:41:29,LA
1,20:41:31,LB
1,20:41:32,LA
1,20:41:32,LB
1,20:41:36,LA
1,20:41:43,LB
1,20:41:45,SE
2,20:45:04,SS
2,20:45:11,LA
2,20:45:12,LB
2,20:45:12,LA
2,20:45:13,LB
2,20:45:15,LA
2,20:45:17,LB
2,20:45:19,LA
2,20:45:20,LB
2,20:45:21,LA
2,20:45:22,FL
2,20:45:24,FF
2,20:45:24,SE
3,20:46:46,SS
3,20:46:53,LA
3,20:46:55,LB
3,20:46:57,SE
4,20:53:18,SS
4,20:53:25,LA
4,20:53:26,LB
4,20:53:27,LA
4,20:53:27,LB
4,20:53:29,LA
4,20:53:29,LB
4,20:53:30,LA
4,20:53:31,LB
4,20:53:33,LA
4,20:53:34,LB
4,20:53:35,LA
4,20:53:35,LB
4,20:53:37,LA
4,20:53:38,LB
4,20:53:38,SE
5,20:55:11,SS
5,20:55:28,LA
5,20:55:28,LB
5,20:55:30,LA
5,20:55:31,LB
5,20:55:33,LA
5,20:55:33,LB
5,20:55:34,LA
5,20:55:35,LB
5,20:55:36,LA
5,20:55:37,LB
5,20:55:38,LA
5,20:55:39,LB
5,20:55:40,LA
5,20:55:40,LB
5,20:55:41,LA
5,20:55:42,SE
6,22:57:59,SS
6,22:58:19,LA
6,22:58:20,LB
6,22:58:21,LA
6,22:58:24,LB
6,22:58:25,LA
6,22:58:26,LB
6,22:58:29,LA
6,22:58:30,LB
6,22:58:33,LA
6,22:58:35,LB
6,22:58:38,LA
6,22:58:39,LB
6,22:58:41,SE
7,09:51:57,SS
7,09:52:04,LA
7,09:52:05,LB
7,09:52:06,LA
7,09:52:08,LB
7,09:52:09,LA
7,09:52:10,LB
7,09:52:11,LA
7,09:52:12,LB
7,09:52:13,SE
