# Study Tracker Log v1
# S=session_id, T=time(HH:MM:SS EST), E=event_type
# Events: SS=start SE=end FL=face_lost FF=face_found LA=look_away LB=look_back
S,T,E
1,09:59:37,SS
1,09:59:42,LA
1,09:59:43,LB
1,09:59:47,LA
1,09:59:48,LB
1,09:59:49,LA
1,09:59:50,LB
1,09:59:54,SE
2,11:57:19,SS
2,11:57:25,LA
2,11:57:25,LB
2,11:57:27,LA
2,11:57:28,LB
2,11:57:29,LA
2,11:57:29,LB
2,11:57:30,LA
2,11:57:31,LB
2,11:57:33,LA
2,11:57:35,LB
2,11:57:36,LA
2,11:57:38,LB
2,11:57:39,LA
2,11:57:40,LB
2,11:57:41,LA
2,11:57:42,LB
2,11:57:43,SE
3,11:58:19,SS
3,11:58:26,LA
3,11:58:26,LB
3,11:58:27,LA
3,11:58:28,LB
3,11:58:31,LA
3,11:58:32,FL
3,11:58:32,FF
3,11:58:33,LA
3,11:58:33,LB
3,11:58:36,LA
3,11:58:37,LB
3,11:58:41,SE
4,12:41:51,SS
5,13:15:41,SS
5,13:15:51,LA
5,13:15:51,LB
5,13:15:56,LA
5,13:15:56,FL
5,13:15:57,FF
5,13:15:57,LA
5,13:15:58,LB
5,13:16:00,LA
5,13:16:03,LB
6,14:50:36,SS
6,14:50:51,LA
6,14:50:52,LB
6,14:50:53,LA
6,14:50:54,FL
6,14:50:55,FF
6,14:50:56,LA
6,14:50:58,LB
6,14:51:00,LA
6,14:51:00,LB
