# Study Tracker Log v1
# S=session_id, T=time(HH:MM:SS EST), E=event_type
# Events: SS=start SE=end FL=face_lost FF=face_found LA=look_away LB=look_back
S,T,E
1,19:56:59,SS
1,19:57:04,LA
1,19:57:15,SE
2,19:57:23,SS
2,19:57:29,LA
2,19:58:19,SE
3,19:58:28,SS
3,19:58:33,LA
3,19:59:18,SE
4,19:59:36,SS
4,19:59:41,LA
4,20:00:14,SE
5,20:00:30,SS
5,20:00:38,LA
5,20:00:39,LB
5,20:00:42,LA
5,20:00:45,LB
5,20:00:50,SE
6,20:01:16,SS
6,20:01:21,LA
6,20:01:26,LB
6,20:01:27,LA
6,20:01:28,LB
6,20:01:34,LA
6,20:01:36,LB
6,20:01:37,LA
6,20:01:40,LB
6,20:01:43,LA
6,20:02:05,LB
6,20:02:10,LA
6,20:02:11,LB
6,20:02:15,LA
6,20:02:15,SE
7,20:02:28,SS
7,20:02:33,LA
7,20:03:01,SE
8,20:03:51,SS
8,20:03:56,LA
8,20:08:00,SE
9,20:16:55,SS
9,20:17:02,LA
9,20:17:03,LB
9,20:17:05,LA
9,20:17:06,LB
9,20:17:07,LA
9,20:17:08,LB
9,20:17:11,LA
9,20:17:12,LB
9,20:17:15,FL
9,20:17:16,FF
9,20:17:16,LA
9,20:17:18,LB
9,20:17:18,SE
